alg;func;bit;time
sha256;Hash value computing;256;3.2901763916015625e-05
sha256;Mining one block;256;0.05235433578491211
sha256;Proof of Work;256;0.04401993751525879
sha256;Hash value computing;256;2.193450927734375e-05
sha256;Mining one block;256;0.050118207931518555
sha256;Proof of Work;256;0.08902263641357422
sha256;Hash value computing;256;2.3603439331054688e-05
sha256;Mining one block;256;0.09456324577331543
sha256;Proof of Work;256;0.18064022064208984
sha256;Hash value computing;256;1.8358230590820312e-05
sha256;Mining one block;256;0.18610668182373047
sha256;Proof of Work;256;0.3708329200744629
sha256;Hash value computing;256;1.9311904907226562e-05
sha256;Mining one block;256;0.37674498558044434
sha256;Proof of Work;256;0.7353520393371582
sha256;Hash value computing;256;5.221366882324219e-05
sha256;Mining one block;256;0.740973711013794
sha256;Proof of Work;256;1.2450063228607178
sha256;Hash value computing;256;1.9550323486328125e-05
sha256;Mining one block;256;1.2507176399230957
sha256;Proof of Work;256;1.989527940750122
sha256;Hash value computing;256;2.0742416381835938e-05
sha256;Mining one block;256;1.996666669845581
sha256;Proof of Work;256;3.478700876235962
sha256;Hash value computing;256;1.8596649169921875e-05
sha256;Mining one block;256;3.4844510555267334
sha256;Hash value computing;256;2.0503997802734375e-05
sha256;Proof of Work;256;0.04151487350463867
sha256;Hash value computing;256;3.337860107421875e-05
sha256;Mining one block;256;0.05095171928405762
sha256;Proof of Work;256;0.03920102119445801
sha256;Hash value computing;256;1.5735626220703125e-05
sha256;Mining one block;256;0.04417061805725098
sha256;Proof of Work;256;0.084869384765625
sha256;Hash value computing;256;2.1696090698242188e-05
sha256;Mining one block;256;0.09026932716369629
sha256;Proof of Work;256;0.1631300449371338
sha256;Hash value computing;256;3.3855438232421875e-05
sha256;Mining one block;256;0.17136049270629883
sha256;Proof of Work;256;0.3347892761230469
sha256;Hash value computing;256;2.1219253540039062e-05
sha256;Mining one block;256;0.3403747081756592
sha256;Proof of Work;256;0.6741583347320557
sha256;Hash value computing;256;1.8835067749023438e-05
sha256;Mining one block;256;0.6799929141998291
sha256;Proof of Work;256;1.1642584800720215
sha256;Hash value computing;256;1.9550323486328125e-05
sha256;Mining one block;256;1.1708016395568848
sha256;Proof of Work;256;1.8249077796936035
sha256;Hash value computing;256;1.6689300537109375e-05
sha256;Mining one block;256;1.8301873207092285
sha256;Proof of Work;256;3.1467158794403076
sha256;Hash value computing;256;1.8358230590820312e-05
sha256;Mining one block;256;3.161350727081299
sha256;Proof of Work;256;6.252620458602905
sha256;Hash value computing;256;1.8596649169921875e-05
sha256;Mining one block;256;6.258106708526611
sha256;Hash value computing;256;3.123283386230469e-05
sha256;Hash value computing;256;1.9073486328125e-05
ecdsa;Key pair generation;256;0.07283782958984375
ecdsa;Key pair generation;256;0.07956671714782715
ecdsa;Signing message;256;0.09939861297607422
ecdsa;Verifying signature;256;0.07717466354370117
sha256;Proof of Work;256;12.096065759658813
sha256;Hash value computing;256;2.5033950805664062e-05
sha256;Mining one block;256;12.10254979133606
sha256;Hash value computing;256;2.765655517578125e-05
sha256;Hash value computing;256;2.3126602172851562e-05
ecdsa;Key pair generation;256;0.07820701599121094
ecdsa;Key pair generation;256;0.08033084869384766
ecdsa;Signing message;256;0.10510921478271484
ecdsa;Verifying signature;256;0.07121491432189941
sha256;Proof of Work;256;23.162166357040405
sha256;Hash value computing;256;2.193450927734375e-05
sha256;Mining one block;256;23.167373418807983
sha256;Proof of Work;256;46.54894304275513
sha256;Hash value computing;256;1.7404556274414062e-05
sha256;Mining one block;256;46.554545164108276
sha256;Hash value computing;256;3.170967102050781e-05
sha256;Hash value computing;256;2.2411346435546875e-05
ecdsa;Key pair generation;256;0.0778498649597168
ecdsa;Key pair generation;256;0.07874917984008789
ecdsa;Signing message;256;0.10732626914978027
ecdsa;Verifying signature;256;0.08184981346130371
sha256;Proof of Work;256;97.66262650489807
sha256;Hash value computing;256;2.09808349609375e-05
