alg;func;bit;time
sha256;Hash value computing;256;2.0742416381835938e-05
sha256;Hash value computing;256;2.0265579223632812e-05
sha256;Proof of Work;256;0.0489354133605957
sha256;Hash value computing;256;4.124641418457031e-05
sha256;Mining one block;256;0.061379432678222656
sha256;Proof of Work;256;0.04456162452697754
sha256;Hash value computing;256;2.47955322265625e-05
sha256;Mining one block;256;0.0520777702331543
sha256;Proof of Work;256;0.08600282669067383
sha256;Hash value computing;256;2.3603439331054688e-05
sha256;Mining one block;256;0.09201645851135254
sha256;Proof of Work;256;0.16579794883728027
sha256;Hash value computing;256;2.3126602172851562e-05
sha256;Mining one block;256;0.17212533950805664
sha256;Proof of Work;256;0.3425300121307373
sha256;Hash value computing;256;2.0742416381835938e-05
sha256;Mining one block;256;0.34898877143859863
sha256;Hash value computing;256;2.384185791015625e-05
sha256;Proof of Work;256;0.04850363731384277
sha256;Hash value computing;256;4.5299530029296875e-05
sha256;Mining one block;256;0.06041979789733887
sha256;Proof of Work;256;0.04353761672973633
sha256;Hash value computing;256;2.765655517578125e-05
sha256;Mining one block;256;0.04964923858642578
sha256;Proof of Work;256;0.08453822135925293
sha256;Hash value computing;256;3.0994415283203125e-05
sha256;Mining one block;256;0.09201979637145996
sha256;Proof of Work;256;0.1766834259033203
sha256;Hash value computing;256;1.9311904907226562e-05
sha256;Mining one block;256;0.18306231498718262
sha256;Proof of Work;256;0.3460533618927002
sha256;Hash value computing;256;3.075599670410156e-05
sha256;Mining one block;256;0.35372471809387207
sha256;Proof of Work;256;0.705143928527832
sha256;Hash value computing;256;2.3126602172851562e-05
sha256;Mining one block;256;0.7116734981536865
sha256;Proof of Work;256;1.2048442363739014
sha256;Hash value computing;256;2.9802322387695312e-05
sha256;Mining one block;256;1.2126257419586182
